Name,CALL ESX JAN19 4800,CALL ESX JAN19 5600,CALL ESX JAN19 6300,CALL ESX JAN19 6800,CALL ESX JAN19 7200,CALL ESX JAN19 7600,CALL ESX JAN19 8000,CALL ESX JAN19 8400,CALL ESX JAN19 8800,CALL ESX JAN19 9200
Code,C22BMY,A48TKB,D83VGC,D72MYE,D09YJI,D72MYT,D72MYX,D72MYZ,D72MY0,D72MY1
45,2127.5,1380.5,,425.5,213,83.5,25.5,7.5,2.5,1
46,2155.5,1407,,442.5,224.5,89.5,28,8,2.5,1
47,2161,1412,,446.5,227,90,27.5,7.5,2,1
48,2213,1459,,475,245,99,31,8.5,2.5,1
49,2228,1472.5,,481,248.5,100,31,8.5,3,1
50,2220.5,1465,,475,244.5,99,31.5,9.5,3,1.5
51,2142,1392.5,,429,213.5,83.5,26.5,8,3,1
52,2146,1397,,433,216.5,85,27.5,9,3,1.5
53,2152.5,1403.5,,439.5,222,89,29.5,9.5,3.5,1.5
54,2167.5,1414,,442,224,91,30.5,9.5,3.5,1.5
55,2049,1304,,377,184.5,73,24.5,8,3,1
56,2080,1331.5,,391,192,75.5,24.5,7.5,2.5,1
57,2039.5,1294,,367.5,177,68.5,22,6.5,2.5,1
58,1959,1221.5,,329,155.5,59.5,19.5,6.5,2,1
59,1946.5,1212,641.5,323.5,151.5,57.5,18.5,6,2,1
60,1901.5,1170,607,297.5,135,48.5,14.5,4.5,1.5,0.5
61,1998,1256.5,676,347.5,165.5,63,19.5,5.5,1.5,0.5
62,2032.5,1290,706.5,372,183,72.5,23.5,7,2,0.5
63,2084,1335.5,739,391.5,193.5,78,26.5,9,3,1.5
64,2084,1335.5,739,391.5,193.5,78,26.5,9,3,1.5
65,2084,1335.5,739,391.5,193.5,78,26.5,9,3,1.5
66,2044.5,1299,711,373.5,183.5,72,23,6.5,2,0.5
67,2043.5,1298.5,712,375,184.5,72.5,23,6.5,2,0.5
68,2203.5,1447,836,467.5,244,102,33.5,9.5,2.5,1
69,2181,1425.5,816.5,451,233,97,32.5,9.5,3,1
70,2196,1438.5,826,457,236,97.5,32,9,2.5,1
71,2267.5,1505.5,884,503,267,113.5,37.5,10,2.5,0.5
72,2263,1501.5,881,501.5,266.5,113.5,37.5,10,2.5,1
73,2267.5,1504.5,881.5,499,263,110,35.5,9.5,2.5,0.5
74,2278,1514,888,502.5,264,109.5,35,9.5,2.5,1
75,2219.5,1457,835.5,458,231.5,92,29,8,2.5,1
76,2249,1482,853,468,235.5,92.5,28.5,7.5,2,1
77,2333,1563,925.5,526,275,113,35.5,9.5,3,1
78,2350,1579.5,941,539,284.5,118,37.5,10.5,3,1
79,2380.5,1609,968,562,302,127,40.5,10,2.5,0.5
80,2420.5,1647,1001.5,589,320.5,137,44,11.5,3,1
81,2438,1664,1016.5,601,328.5,141,45,11.5,3,1
82,2399.5,1627,983,572.5,307.5,128,39,9.5,2,0.5
83,2443.5,1668.5,1019.5,601,326,137,42,10,2.5,0.5
84,2526.5,1749.5,1096,669,380.5,171.5,57,14.5,3.5,1
85,2531,1754,1099,670.5,380,169.5,55.5,13.5,3,1
86,2542,1764.5,1108.5,678.5,385.5,172.5,56.5,14,3.5,1
87,2578.5,1800,1142,708,409.5,188.5,64.5,17,4,1.5
88,2531,1754,1099,671,381.5,171.5,57.5,15,4,1
89,2593.5,1814.5,1155,719,418,193.5,66.5,17.5,4.5,1.5
90,2593.5,1814.5,1155,719,418,193.5,66.5,17.5,4.5,1.5
91,2600.5,1821,1161.5,725.5,424,198,68.5,18,4.5,1.5
92,2687,1906,1242.5,798.5,485.5,241,91,26,6.5,2
93,2757.5,1976,1310.5,862,540.5,281.5,113,34.5,9,2.5
94,2779,1996.5,1329.5,878.5,554,291,118.5,37,10,3
95,2760.5,1978.5,1311,860.5,538,278.5,111,34,9.5,3
96,2784.5,2002.5,1335,884,558.5,294,120,38,10.5,3.5
97,2794.5,2013,1345.5,894,568.5,303,126.5,41,12,3.5
98,2837,2055.5,1387,932.5,601,326.5,140,47,13.5,4
99,2837,2056,1388.5,934.5,604,329.5,142.5,48,13.5,4
100,2921,2138.5,1468,1010,671.5,384,177,64,19.5,5.5
101,2952.5,2169,1497,1036,694,400,186,67,20,5.5
102,2842.5,2061,1394.5,942.5,615,343,155,56,17.5,5.5
103,2796,2016,1352,904,582,319,140.5,49,14.5,4.5
104,2795.5,2015.5,1350.5,901.5,577.5,313.5,136,46.5,13.5,4
105,2795.5,2015.5,1350.5,901.5,577.5,313.5,136,46.5,13.5,4
106,2696.5,1919,1261.5,824,516,271.5,112.5,35.5,9,2
107,2727.5,1948.5,1288.5,848,535.5,285,119,37.5,9,2
108,2743,1963,1302,860,545.5,292,123,39.5,10,2.5
109,2756,1975.5,1312,867,549,292,122,38.5,10,2.5
110,2797.5,2015.5,1349,899,574.5,309,130,41.5,11,3
111,2748.5,1966.5,1301.5,855,537,281.5,114.5,35,8.5,2
112,2772,1989.5,1322.5,873,551,290,118,35.5,8.5,2
113,2780,1997,1329,878,553.5,290,117,35,8.5,2
114,2747.5,1965,1298,849.5,529,272.5,107.5,31.5,7.5,2
115,2817,2032.5,1362,906.5,577,306,124.5,37,8.5,2
116,2778,1993.5,1324,871,545,282,110.5,31.5,7.5,2
117,2780,1995.5,1325,871.5,544.5,279.5,107.5,29.5,6.5,1.5
118,2838,2052.5,1378.5,919.5,584,306.5,120.5,33,7,1.5
119,2705.5,1922.5,1255.5,807.5,490,240.5,87,22.5,5,1
120,2705,1922.5,1256.5,810,494,244.5,90,23.5,5,1
121,2677.5,1895,1230.5,786.5,474.5,231.5,83.5,21.5,4.5,1
122,2715,1932,1265.5,818.5,501,250,93,24.5,5,1
123,2631,1849.5,1187.5,749.5,445,212.5,75,19,4,1
124,2760,1975,1305,853.5,529.5,269,101.5,26.5,5,1
125,2584.5,1804.5,1146,712.5,415.5,194,67.5,17,4,1
126,2633,1851.5,1189.5,750.5,446,213.5,76,19.5,4,1
127,2686.5,1904,1239.5,795.5,482.5,238.5,88,23.5,5,1
128,2692.5,1911.5,1248,805,492.5,246.5,93,26,6,1.5
129,2742.5,1960,1293.5,845,524.5,267,102,28,6.5,1.5
130,2639,1859,1199.5,762,456.5,222,81,22,5,1.5
131,2663,1882,1218.5,776.5,465.5,225.5,81.5,22,5.5,1.5
132,2648,1867,1204,762,452.5,215.5,76,20,5,1
133,2680.5,1898.5,1233,787.5,472,227,81,21.5,5,1.5
134,2685.5,1901.5,1234.5,787.5,471,225.5,78.5,19.5,4,1
135,2770.5,1985,1312,856,527,262.5,96,24.5,5,1
136,2774,1987,1312.5,853,520.5,253.5,88.5,21.5,4.5,1
137,2672,1887.5,1218,766.5,447.5,204.5,68,17,4,1
138,2731.5,1945,1272,815,487.5,230,78,19,4.5,1
139,2742.5,1955,1280,822,493.5,234.5,80,19,4,1
140,2674.5,1888,1215,762,442,198,61,13,2.5,0.5
141,2710.5,1923.5,1248.5,792,467,214.5,69,15.5,3,0.5
142,2754.5,1966,1288,826.5,493.5,230.5,75,17,3,0.5
143,2763,1974.5,1297,835,501,235.5,76.5,16.5,3,0.5
144,2754.5,1966.5,1289,828,495,231,74.5,16,3,0.5
145,2732,1943.5,1266.5,806.5,475.5,216.5,66,13,2,0.5
146,2797,2008,1328,862,521.5,247,80,17,3,0.5
147,2730.5,1942.5,1266,805.5,474.5,215,65.5,13,2.5,0.5
148,2746.5,1958,1280,817,483,219.5,67.5,13.5,2.5,0.5
149,2781.5,1992,1312,846.5,507.5,235.5,73.5,15,2.5,0.5
150,2778,1988.5,1309.5,845,506.5,235,72.5,14.5,2.5,0.5
151,2839.5,2049,1368,900,555,270.5,90.5,19.5,3.5,0.5
152,2725.5,1937.5,1261.5,801,470.5,213,66,14.5,3,1
153,2655,1867.5,1194,739.5,420,180.5,53,11,2,0.5
154,2742,1952.5,1274,811,476.5,213.5,64,13,2.5,0.5
155,2736.5,1947.5,1269,806,471.5,208.5,60.5,11.5,2,0.5
156,2803,2012.5,1331,862,517.5,238.5,72.5,14.5,2.5,0.5
157,2850,2059.5,1378,907.5,558.5,269,86.5,17.5,3,0.5
158,2860.5,2070,1387.5,915.5,564,271,86.5,17.5,3,0.5
159,2784,1996,1318.5,854,513.5,236.5,72,14.5,3,0.5
160,2767.5,1980,1304,841.5,503.5,231,70.5,14.5,3,0.5
161,2741,1953.5,1278,817,482.5,216,63,12.5,2.5,0.5
162,2597.5,1813.5,1146,699.5,388.5,159.5,43,8.5,1.5,0.5
163,2696.5,1909.5,1234.5,776,447.5,193.5,54,10,1.5,0.5
164,2685.5,1897.5,1222.5,764,436,185.5,51.5,10,2,0.5
165,2732,1942.5,1263.5,798,460.5,197,53,9.5,2,0.5
166,2704.5,1914.5,1235,770,434.5,178,45.5,8,1.5,0.5
167,2711,1921,1241.5,776,439.5,181.5,46.5,8,1.5,0.5
168,2699,1909,1229,764,429,174,43.5,7.5,1.5,0.5
169,2717.5,1927,1245.5,778.5,439.5,179,44.5,7.5,1.5,0.5
170,2717.5,1927,1245.5,778.5,439.5,179,44.5,7.5,1.5,0.5
171,2762,1970,1286.5,816,471.5,199.5,51,8,1.5,0.5
172,2696.5,1906,1224.5,758.5,423.5,169.5,41.5,7,1.5,0.5
173,2647,1857,1178,716,389.5,150,35,5.5,1,0.5
174,2564,1775,1099,646,335,119.5,25.5,3.5,0.5,0.5
175,2638,1847.5,1169,709,385,147.5,33.5,5,1,0.5
176,2595,1805.5,1129,673,356.5,132,29.5,4.5,1,0.5
177,2529.5,1741.5,1068.5,619,312.5,105.5,21,3,0.5,0.5
178,2472.5,1685.5,1015.5,572.5,277.5,88.5,17,2.5,0.5,0.5
179,2436.5,1649.5,980,538.5,249.5,73,12.5,2,0.5,0.5
180,2436.5,1647.5,975.5,533,245.5,71.5,12,2,0.5,0.5
181,2425,1636.5,965,523.5,237.5,66.5,10.5,1.5,0.5,0.5
182,2463.5,1674.5,1001,555,260,76.5,12.5,1.5,0.5,0.5
183,2434,1644,969.5,525.5,237.5,67,11,1.5,0.5,0.5
184,2462.5,1671.5,995,545.5,250,70.5,11,1.5,0.5,0.5
185,2455.5,1664.5,987.5,538.5,244,67,10.5,1.5,0.5,0.5
186,2452.5,1661.5,984,534.5,240.5,65,10,1.5,0.5,0.5
187,2486,1694,1015,561.5,259,73,11,1.5,0.5,0.5
188,2521.5,1729,1047,588,277.5,81.5,13.5,2,0.5,0.5
189,2630.5,1837,1151.5,683.5,352.5,119,22.5,3,0.5,0.5
190,2618.5,1824.5,1140.5,673.5,345,115.5,22,3,0.5,0.5
191,2659.5,1865.5,1179,708,371,128,24,3.5,0.5,0.5
192,2667.5,1873,1186,714,375,129,24,3,0.5,0.5
193,2707.5,1912.5,1224.5,750,405,146.5,28.5,4,0.5,0.5
194,2679,1884.5,1197.5,724.5,384.5,134.5,25.5,3.5,0.5,0.5
195,2660.5,1866,1178.5,706,366.5,122.5,21.5,3,0.5,0.5
196,2640.5,1846,1159,688,352.5,115.5,20,2.5,0.5,0.5
197,2679,1884,1194.5,718.5,374.5,126.5,24,3.5,1,0.5
198,2578.5,1784.5,1099,632,307.5,93.5,16.5,3,1,0.5
199,2484.5,1691,1009,552.5,250.5,69,11,1.5,0.5,0.5
200,2402,1609.5,932.5,487.5,207.5,53.5,8.5,1.5,0.5,0.5
201,2403,1610.5,932,486.5,206.5,53,8.5,1.5,0.5,0.5
202,2321.5,1530.5,858,425.5,168,40,7,1.5,0.5,0.5
203,2179.5,1393,734,332.5,119,27.5,5,1.5,0.5,0.5
204,2169,1382,722.5,321,111,25,5,1.5,0.5,0.5
205,2201.5,1413.5,749,336.5,114.5,24,4.5,1.5,0.5,0.5
206,2230,1441,771,348.5,117,23,4,1.5,0.5,0.5
207,2216.5,1427.5,760,340,111,20.5,3.5,1,0.5,0.5
208,2204,1414.5,747.5,331,105.5,17,2,0.5,0.5,0.5
209,2224,1435.5,767,342.5,106,16.5,2.5,0.5,0.5,0.5
210,2218,1428,759.5,339.5,107.5,16.5,2,0.5,0.5,0.5
211,2140.5,1353,694,294,88,13,1.5,0.5,0.5,0.5
212,2135.5,1347.5,689,289,84.5,12.5,1.5,0.5,0.5,0.5
213,2172,1383.5,721,312.5,95.5,14.5,1.5,0.5,0.5,0.5
214,2079,1294.5,644.5,261.5,75.5,12,1.5,0.5,0.5,0.5
215,2208.5,1420,756,341.5,113,19,2,0.5,0.5,0.5
216,2217.5,1429,764.5,348.5,117,21.5,3,0.5,0.5,0.5
217,2308,1516.5,842.5,407.5,148,28,3.5,0.5,0.5,0.5
218,2264,1472.5,800,371.5,126,20.5,1.5,0.5,0.5,0.5
219,2265,1472.5,799,367.5,121.5,19,2,0.5,0.5,0.5
220,2282,1488.5,810.5,373.5,122.5,19,2.5,0.5,0.5,0.5
221,2214.5,1421.5,747,322.5,93.5,11,0.5,0.5,0.5,0.5
222,2277,1482.5,801.5,358.5,106.5,13.5,1.5,0.5,0.5,0.5
223,2308.5,1513.5,829,378,114.5,14,1,0.5,0.5,0.5
224,2282.5,1487,804.5,361.5,108,12.5,1,0.5,0.5,0.5
225,2236.5,1441.5,762,328.5,93.5,11,1,0.5,0.5,0.5
226,2229.5,1436,757.5,321,86.5,10,1,0.5,0.5,0.5
227,2210,1416,738.5,309.5,84.5,9.5,1,0.5,0.5,0.5
228,2206.5,1414.5,740,312.5,85.5,10,1,0.5,0.5,0.5
229,2219,1425.5,747,312,79,8,1,0.5,0.5,0.5
230,2185.5,1392,715,286,66.5,5.5,0.5,0.5,0.5,0.5
231,2135.5,1344,674.5,261,58,5,0.5,0.5,0.5,0.5
232,2245.5,1450.5,769.5,329.5,87.5,9,1,0.5,0.5,0.5
233,2159.5,1367,692,268.5,58.5,5.5,1.5,0.5,0.5,0.5
234,2150,1357,681,259.5,55,4,0.5,0.5,0.5,0.5
235,2239,1443.5,761,318.5,79.5,7,0.5,0.5,0.5,0.5
236,2220.5,1425,743,304,72,5.5,0.5,0.5,0.5,0.5
237,2203,1407.5,726.5,291.5,68,5,0.5,0.5,0.5,0.5
238,2254,1458.5,775,330,85,8,0.5,0.5,0.5,0.5
239,2164.5,1369.5,688.5,258.5,53,4.5,0.5,0.5,0.5,0.5
240,2273.5,1477,790.5,337.5,83,6.5,0.5,0.5,0.5,0.5
241,2227,1430.5,745.5,300,66,4.5,0.5,0.5,0.5,0.5
242,2130,1335,658,239,45.5,3,0.5,0.5,0.5,0.5
243,1873.5,1089.5,452.5,124.5,19.5,1.5,0.5,0.5,0.5,0.5
244,1991,1202.5,548,178,34,3.5,0.5,0.5,0.5,0.5
245,1930,1143.5,499,146.5,23.5,2,0.5,0.5,0.5,0.5
246,2031,1239,571.5,182,30,2.5,0.5,0.5,0.5,0.5
247,2082,1288,614,206.5,35.5,3,0.5,0.5,0.5,0.5
248,2070,1274.5,596.5,187,27.5,2,0.5,0.5,0.5,0.5
249,2028,1233,557,158.5,18.5,1,0.5,0.5,0.5,0.5
250,1977.5,1182,512,132,12.5,1,0.5,0.5,0.5,0.5
251,1909,1115,452,99.5,8,0.5,0.5,0.5,0.5,0.5
252,1978.5,1184,510,128,12,1,0.5,0.5,0.5,0.5
253,1912.5,1117.5,452.5,98.5,7,0.5,0.5,0.5,0.5,0.5
254,1902,1106,437,86,5.5,0.5,0.5,0.5,0.5,0.5
255,1873.5,1078,413.5,74.5,3.5,0.5,0.5,0.5,0.5,0.5
256,1873.5,1078,413.5,74.5,3.5,0.5,0.5,0.5,0.5,0.5
257,1873.5,1078,413.5,74.5,3.5,0.5,0.5,0.5,0.5,0.5
258,1790.5,997,349.5,54.5,3,0.5,0.5,0.5,0.5,0.5
259,1936.5,1139.5,465.5,99.5,5,0.5,0.5,0.5,0.5,0.5
260,1921,1123.5,448,85,2.5,0.5,0.5,0.5,0.5,0.5
